pmid,gt_answer,pred_answer,correct,model_output
21645374,yes,yes,1,yes
16418930,no,yes,0,yes
9488747,yes,yes,1,yes
17208539,no,maybe,0,maybe
10808977,yes,yes,1,yes
23831910,yes,yes,1,yes
26037986,maybe,yes,0,yes
26852225,no,yes,0,yes
17113061,no,maybe,0,maybe
10966337,yes,yes,1,yes
25432938,yes,yes,1,yes
18847643,no,yes,0,no
18239988,yes,yes,1,yes
25957366,no,yes,0,yes
24866606,yes,yes,1,yes
26578404,yes,yes,1,yes
11729377,yes,yes,1,yes
17096624,yes,yes,1,yes
22694248,yes,yes,1,yes
22990761,yes,yes,1,yes
19394934,yes,yes,1,yes
11481599,yes,yes,1,yes
21669959,yes,yes,1,yes
23806388,yes,yes,1,yes
17919952,yes,yes,1,yes
10966943,no,maybe,0,maybe
23690198,yes,yes,1,yes
17940352,maybe,yes,0,yes
20537205,yes,yes,1,yes
28707539,yes,yes,1,yes
7482275,no,yes,0,yes
24183388,maybe,yes,0,yes
9645785,no,no,1,no
26298839,yes,no,0,no
24153338,yes,yes,1,yes
18534072,no,yes,0,yes
8847047,no,yes,0,yes
10575390,no,yes,0,yes
20084845,yes,yes,1,yes
15703931,no,yes,0,yes
18269157,yes,no,0,yes
25489696,yes,no,0,no
14599616,maybe,no,0,no
22537902,no,no,1,no
19054501,yes,maybe,0,aybe
16432652,yes,maybe,0,yes
19504993,yes,yes,1,yes
20571467,yes,no,0,no
24237112,yes,yes,1,yes
21402341,no,yes,0,yes
20082356,maybe,yes,0,yes
26606599,maybe,yes,0,yes
11340218,no,maybe,0,maybe
25481573,yes,no,0,yes
25277731,maybe,yes,0,yes
25475395,yes,maybe,0,maybe
23177368,no,no,1,no
17179167,maybe,no,0,no
14612308,no,yes,0,yes
27491658,yes,maybe,0,yes
19822586,yes,yes,1,yes
27643961,no,yes,0,yes
23539689,yes,yes,1,yes
22453060,yes,yes,1,yes
22227642,no,yes,0,yes
12380309,no,no,1,no
22186742,no,yes,0,yes
22188074,yes,yes,1,yes
27989969,no,no,1,no
18607272,yes,yes,1,yes
18235194,maybe,no,0,no
18049437,yes,yes,1,yes
15597845,yes,yes,1,yes
24996865,yes,yes,1,yes
23361217,yes,yes,1,yes
17489316,maybe,yes,0,yes
14518645,yes,maybe,0,yes
20337202,maybe,yes,0,yes
26449554,yes,no,0,no
26215326,yes,maybe,0,es
29112560,yes,yes,1,yes
24315783,yes,no,0,yes
9381529,yes,yes,1,yes
8985020,yes,yes,1,yes
26708803,maybe,yes,0,yes
22427593,maybe,yes,0,yes
11570976,maybe,no,0,no
19757704,yes,yes,1,yes
27592038,yes,yes,1,yes
27044366,maybe,yes,0,yes
9792366,yes,yes,1,yes
17562682,maybe,no,0,no
15800018,yes,yes,1,yes
14978612,yes,yes,1,yes
18843057,no,no,1,no
23076787,no,yes,0,yes
9199905,yes,yes,1,yes
23999452,yes,yes,1,yes
22534881,no,maybe,0,no
24785562,yes,yes,1,yes
22564465,yes,yes,1,yes
27456836,yes,yes,1,yes
27287237,yes,yes,1,yes
14697414,yes,yes,1,yes
26686513,maybe,yes,0,yes
15530261,yes,yes,1,yes
24160268,maybe,yes,0,yes
21823940,no,yes,0,yes
27217036,yes,yes,1,yes
18565233,yes,no,0,no
19694846,maybe,maybe,1,maybe
27184293,maybe,yes,0,yes
19459018,no,yes,0,yes
22042121,no,yes,0,yes
16100194,no,yes,0,yes
25480629,maybe,yes,0,yes
17453263,yes,maybe,0,es
18322741,yes,yes,1,yes
19106867,yes,yes,1,yes
25691513,yes,yes,1,yes
11035130,yes,no,0,no
19409117,yes,yes,1,yes
21900017,yes,yes,1,yes
16968876,maybe,yes,0,yes
18540901,yes,maybe,0,yes
27448572,yes,yes,1,yes
17621202,maybe,no,0,no
25987398,maybe,yes,0,yes
16816043,maybe,yes,0,yes
12920330,maybe,yes,0,yes
23497210,no,yes,0,yes
21952349,yes,no,0,no
21712147,no,yes,0,yes
25311479,yes,no,0,yes
20602784,yes,yes,1,yes
12836106,yes,yes,1,yes
25588461,yes,yes,1,yes
19299238,yes,yes,1,yes
22706226,maybe,yes,0,yes
12913878,yes,yes,1,yes
16769333,yes,yes,1,yes
22497340,yes,maybe,0,maybe
10223070,maybe,yes,0,yes
8566975,no,maybe,0,no
25186850,yes,maybe,0,yes
9427037,yes,yes,1,yes
28359277,no,yes,0,yes
11411430,maybe,yes,0,yes
16956164,yes,yes,1,yes
15687156,no,yes,0,yes
28127977,no,no,1,no
16809243,no,no,1,no
17276182,yes,yes,1,yes
21123461,yes,yes,1,yes
22428608,yes,yes,1,yes
27858166,yes,no,0,yes
23791827,yes,yes,1,yes
18243752,maybe,no,0,no
17279467,maybe,no,0,no
22758782,no,yes,0,yes
15223725,yes,yes,1,yes
19482903,yes,yes,1,yes
25752912,no,yes,0,yes
21946341,no,maybe,0,o
16428354,yes,yes,1,yes
19302863,yes,no,0,no
24245816,yes,maybe,0,yes
24666444,no,yes,0,yes
19913785,no,maybe,0,
1571683,maybe,yes,0,yes
15631914,no,yes,0,yes
11970923,yes,maybe,0,yes
20121683,yes,yes,1,yes
27281318,yes,yes,1,yes
12846929,yes,yes,1,yes
26505821,maybe,yes,0,es
25156467,yes,yes,1,yes
22023714,no,yes,0,yes
16046584,yes,yes,1,yes
16155169,no,yes,0,yes
19398929,no,maybe,0,maybe
28143468,yes,yes,1,yes
9483814,yes,no,0,no
22720085,yes,no,0,yes
24748473,yes,no,0,yes
15588538,no,yes,0,yes
22211919,maybe,yes,0,yes
24433626,yes,yes,1,yes
9542484,no,yes,0,yes
17008699,no,yes,0,yes
23228527,no,no,1,no
15489384,yes,yes,1,yes
17444776,yes,yes,1,yes
8422202,no,yes,0,yes
23794696,no,yes,0,yes
20549895,no,yes,0,yes
18714572,maybe,no,0,no
2224269,yes,yes,1,yes
8910148,yes,yes,1,yes
23899611,yes,yes,1,yes
10548670,yes,yes,1,yes
26907557,yes,yes,1,yes
20871246,maybe,yes,0,yes
22876568,no,yes,0,yes
15280782,no,yes,0,no
17502203,no,yes,0,yes
26370095,yes,yes,1,yes
10354335,yes,yes,1,yes
26452334,yes,yes,1,yes
15065192,yes,yes,1,yes
25488308,no,yes,0,yes
22449464,yes,yes,1,yes
26222664,yes,yes,1,yes
22617083,yes,yes,1,yes
9767546,yes,yes,1,yes
21214884,no,no,1,no
23321509,yes,yes,1,yes
16827975,no,yes,0,yes
18179827,yes,yes,1,yes
14872327,yes,yes,1,yes
24809662,no,maybe,0,no
26485091,no,maybe,0,maybe
12805495,maybe,yes,0,yes
19925761,no,yes,0,yes
11458136,maybe,yes,0,yes
20382292,yes,yes,1,yes
22236315,no,maybe,0,
17051586,no,no,1,no
25007420,maybe,yes,0,yes
26556589,no,maybe,0,maybe
12612531,yes,yes,1,yes
26194560,yes,yes,1,yes
11079675,yes,yes,1,yes
21459725,no,yes,0,yes
21172844,yes,yes,1,yes
24946973,maybe,no,0,no
17335331,yes,yes,1,yes
27581329,yes,yes,1,yes
11867487,maybe,no,0,no
12765819,yes,yes,1,yes
24507422,yes,yes,1,yes
9854965,yes,yes,1,yes
21756515,maybe,yes,0,yes
19131405,yes,maybe,0,
18568290,maybe,yes,0,yes
18667100,no,yes,0,yes
9191526,yes,yes,1,yes
10605400,maybe,no,0,no
17601244,yes,yes,1,yes
20608141,no,yes,0,yes
25986020,yes,yes,1,yes
15670262,yes,no,0,yes
22900881,no,no,1,no
11413427,no,no,1,no
9602458,no,no,1,no
24434052,maybe,yes,0,yes
17598882,yes,yes,1,yes
21190419,no,no,1,no
16403186,no,no,1,no
11888773,no,yes,0,yes
25940336,yes,yes,1,yes
24014276,yes,yes,1,yes
18359123,no,maybe,0,maybe
26113007,no,maybe,0,maybe
11838307,no,maybe,0,
18222909,yes,yes,1,yes
24747511,yes,yes,1,yes
12407608,maybe,yes,0,yes
19836806,no,yes,0,yes
17076091,maybe,yes,0,yes
21801416,yes,yes,1,yes
25819796,yes,yes,1,yes
18496363,no,yes,0,yes
14551704,yes,yes,1,yes
23234860,no,maybe,0,maybe
22532370,yes,yes,1,yes
22656647,yes,yes,1,yes
22683044,yes,yes,1,yes
11566686,yes,no,0,yes
15502995,no,yes,0,yes
24019262,yes,no,0,no
22867778,maybe,yes,0,yes
23348330,yes,yes,1,yes
21658267,yes,yes,1,yes
28177278,yes,yes,1,yes
18403944,maybe,yes,0,maybe
20363841,no,yes,0,yes
19664156,yes,yes,1,yes
23356465,yes,yes,1,yes
22972546,no,yes,0,yes
21850494,yes,maybe,0,yes
26778755,maybe,yes,0,yes
20187289,no,yes,0,yes
27615402,maybe,yes,0,yes
20297950,yes,no,0,yes
23735520,yes,yes,1,yes
10759659,yes,yes,1,yes
25592625,no,yes,0,yes
12595848,yes,yes,1,yes
20064872,yes,yes,1,yes
23588461,yes,yes,1,yes
18019905,no,yes,0,yes
25859857,no,yes,0,yes
26418796,yes,yes,1,yes
22825590,yes,no,0,no
18832500,yes,yes,1,yes
18955431,yes,no,0,yes
9550200,yes,maybe,0,
10135926,yes,yes,1,yes
11296674,maybe,yes,0,yes
24139705,yes,no,0,no
16253970,no,maybe,0,maybe
14745753,yes,maybe,0,maybe
27078715,yes,yes,1,yes
15939071,yes,yes,1,yes
11926574,no,no,1,no
18594195,yes,yes,1,yes
25614468,no,yes,0,yes
19653482,yes,yes,1,yes
11380492,yes,yes,1,yes
16296668,no,no,1,no
19520213,no,yes,0,yes
14992556,maybe,yes,0,yes
19931500,yes,yes,1,yes
18378554,no,maybe,0,maybe
17306983,yes,yes,1,yes
26879871,yes,yes,1,yes
24336869,maybe,yes,0,yes
16962519,no,yes,0,yes
17704864,yes,yes,1,yes
18307476,yes,yes,1,yes
15151701,yes,yes,1,yes
26399179,yes,yes,1,yes
21889895,no,yes,0,yes
21569408,no,yes,0,yes
23025584,no,no,1,no
23587089,yes,yes,1,yes
15539888,yes,no,0,no
23096188,yes,yes,1,yes
21881325,yes,yes,1,yes
19542542,maybe,yes,0,yes
16872243,no,no,1,no
15141797,no,yes,0,no
25394614,maybe,no,0,no
10381996,no,yes,0,yes
26134053,maybe,yes,0,yes
25274085,no,yes,0,yes
12098035,yes,yes,1,yes
12963175,yes,no,0,no
21865668,yes,yes,1,yes
16510651,no,yes,0,yes
24901580,yes,yes,1,yes
19468282,maybe,yes,0,yes
21481154,yes,yes,1,yes
21398266,yes,maybe,0,s
25371231,maybe,yes,0,yes
23252468,no,no,1,no
22440363,no,yes,0,yes
12068831,no,no,1,no
20530150,no,yes,0,no
21618245,yes,yes,1,yes
26085176,yes,yes,1,yes
18158048,yes,yes,1,yes
21256734,no,no,1,no
28027677,no,no,1,no
17595200,no,yes,0,yes
26548832,yes,yes,1,yes
15879722,yes,yes,1,yes
27554179,no,no,1,no
15381614,maybe,yes,0,yes
22012962,yes,yes,1,yes
18948835,yes,yes,1,yes
18435678,no,yes,0,yes
19268855,no,yes,0,yes
12238307,no,yes,0,yes
20684175,yes,no,0,yes
27216167,yes,yes,1,yes
19852337,yes,yes,1,yes
22680064,yes,yes,1,yes
25417760,no,yes,0,yes
22365295,no,yes,0,yes
15125825,yes,yes,1,yes
24652474,no,yes,0,yes
24947183,yes,yes,1,yes
25779009,maybe,yes,0,yes
17105833,maybe,yes,0,yes
27338535,no,maybe,0,no
27690714,yes,yes,1,yes
21346501,yes,yes,1,yes
24964725,yes,no,0,yes
18708308,no,yes,0,yes
11759976,no,yes,0,yes
16319544,no,maybe,0,maybe
20674150,yes,no,0,yes
25336163,no,yes,0,yes
25887165,yes,maybe,0,yes
12947068,yes,yes,1,yes
16776337,yes,yes,1,yes
22668852,no,maybe,0,no
25251991,yes,yes,1,yes
7497757,no,no,1,no
8262881,yes,yes,1,yes
11943048,yes,yes,1,yes
20306735,yes,no,0,yes
23414523,no,no,1,no
11882828,yes,yes,1,yes
24939676,no,no,1,no
17076590,maybe,yes,0,yes
21745056,yes,yes,1,yes
22979954,yes,no,0,yes
22955530,yes,yes,1,yes
18507507,yes,yes,1,yes
17323047,no,yes,0,yes
24851767,no,yes,0,yes
12006913,no,no,1,no
8245806,yes,yes,1,yes
17691856,maybe,yes,0,yes
15222284,yes,yes,1,yes
25501465,no,yes,0,yes
16414216,no,maybe,0,maybe
19155657,maybe,yes,0,yes
27050489,yes,yes,1,yes
24977765,yes,yes,1,yes
19130332,yes,yes,1,yes
23949294,yes,yes,1,yes
18926458,no,yes,0,yes
10749257,yes,yes,1,yes
17610439,yes,yes,1,yes
26859535,no,yes,0,yes
25446909,yes,maybe,0,yes
17220021,yes,yes,1,yes
10158597,yes,yes,1,yes
21198823,no,no,1,no
17259061,yes,yes,1,yes
18375490,no,yes,0,yes
24142776,yes,maybe,0,s
18388848,yes,yes,1,yes
22251324,no,no,1,no
27896825,yes,maybe,0,s
22117569,yes,yes,1,yes
25787073,no,no,1,no
14631523,no,no,1,no
26717802,no,yes,0,yes
23810330,yes,yes,1,yes
19027440,yes,yes,1,yes
24446763,no,no,1,no
9444542,no,no,1,no
23389866,no,no,1,no
19142546,no,yes,0,yes
9107172,yes,yes,1,yes
9363244,yes,no,0,no
10411439,yes,yes,1,yes
21166749,no,yes,0,yes
27818079,yes,yes,1,yes
25982163,no,no,1,no
20353735,no,yes,0,yes
24630333,no,yes,0,yes
27096199,no,no,1,no
22519710,no,yes,0,yes
12040336,no,yes,0,no
15918864,yes,yes,1,yes
23601294,no,maybe,0,maybe
21361755,no,yes,0,yes
9003088,yes,yes,1,yes
23337545,yes,maybe,0,maybe
10490564,yes,no,0,yes
23375036,yes,yes,1,yes
11555508,yes,yes,1,yes
16778275,no,maybe,0,no
27136599,yes,no,0,no
27050505,yes,maybe,0,maybe
18403945,yes,yes,1,yes
11149643,yes,yes,1,yes
26200172,yes,yes,1,yes
18783922,yes,yes,1,yes
12684740,yes,maybe,0,yes
25155638,yes,yes,1,yes
26820719,yes,yes,1,yes
21080127,maybe,no,0,no
18086459,yes,maybe,0,maybe
11978239,yes,no,0,yes
10798511,no,yes,0,yes
15477551,yes,yes,1,yes
19327500,yes,maybe,0,
24614789,yes,yes,1,yes
23283159,yes,yes,1,yes
16465002,yes,yes,1,yes
24191126,yes,yes,1,yes
25218577,yes,yes,1,yes
20488985,no,yes,0,yes
11567820,no,yes,0,yes
19100463,yes,yes,1,yes
12769830,no,yes,0,yes
10331115,yes,yes,1,yes
17483607,yes,no,0,no
28056802,yes,yes,1,yes
11776681,yes,yes,1,yes
24922528,no,yes,0,yes
8200238,no,yes,0,yes
10593212,no,no,1,no
12630042,maybe,yes,0,yes
24519615,yes,maybe,0,yes
24267613,no,no,1,no
21074975,yes,yes,1,yes
19712912,no,no,1,no
12690589,yes,no,0,yes
10757151,no,no,1,no
15388567,no,no,1,no
10877371,yes,yes,1,yes
22324545,yes,yes,1,yes
19419587,yes,yes,1,yes
16909975,yes,yes,1,yes
18799291,no,yes,0,yes
12163782,yes,yes,1,yes
16392897,maybe,yes,0,yes
19615731,no,no,1,no
18537964,yes,yes,1,yes
25747932,yes,yes,1,yes
17445978,no,yes,0,yes
19309468,yes,yes,1,yes
25885219,yes,yes,1,yes
26348845,yes,yes,1,yes
12221908,yes,yes,1,yes
21904069,no,no,1,no
14976655,yes,yes,1,yes
22644412,yes,yes,1,yes
26419377,yes,yes,1,yes
23052500,no,yes,0,yes
26104852,yes,yes,1,yes
9142039,yes,yes,1,yes
18399830,yes,yes,1,yes
18575014,yes,maybe,0,maybe
15223779,yes,yes,1,yes
24487044,yes,yes,1,yes
12377809,yes,yes,1,yes
16195477,yes,yes,1,yes
16678696,no,yes,0,yes
18801797,no,yes,0,yes
12153648,no,no,1,no
12632437,yes,yes,1,yes
10201555,yes,yes,1,yes
21342862,yes,yes,1,yes
26818046,yes,yes,1,yes
18005142,yes,yes,1,yes
11481172,yes,no,0,yes
19230985,yes,yes,1,yes
17295865,yes,yes,1,yes
17565137,yes,yes,1,yes
18041059,yes,maybe,0,s
17274051,no,maybe,0,es
26460153,yes,yes,1,yes
24061619,no,yes,0,yes
26867834,yes,maybe,0,
22349635,no,yes,0,yes
15112004,no,yes,0,yes
15954832,yes,yes,1,yes
19640728,yes,yes,1,yes
22154448,no,no,1,no
11146778,yes,yes,1,yes
8199520,no,no,1,no
9100537,no,no,1,no
26518378,yes,yes,1,yes
23774337,no,yes,0,yes
16151770,yes,maybe,0,yes
26418441,yes,yes,1,yes
20130378,no,yes,0,yes
11799314,yes,yes,1,yes
20828836,yes,yes,1,yes
19608436,yes,maybe,0,yes
15995461,yes,yes,1,yes
23224030,yes,yes,1,yes
17910536,yes,yes,1,yes
12070552,no,maybe,0,no
18182265,yes,yes,1,yes
15841770,yes,yes,1,yes
8017535,yes,yes,1,yes
24172579,yes,yes,1,yes
10781708,no,yes,0,yes
26561905,yes,yes,1,yes
17089900,yes,yes,1,yes
26536001,no,no,1,no
19643525,no,no,1,no
26285789,yes,yes,1,yes
22266735,yes,yes,1,yes
15052394,no,yes,0,yes
23264436,yes,no,0,yes
22302658,maybe,yes,0,yes
17894828,yes,yes,1,yes
18096128,no,yes,0,yes
12913347,yes,yes,1,yes
24684514,no,yes,0,yes
24793469,yes,yes,1,yes
23360491,maybe,yes,0,yes
10340286,maybe,yes,0,yes
22954812,maybe,yes,0,yes
18274917,no,yes,0,no
22350859,yes,yes,1,yes
26237424,no,yes,0,yes
15041506,yes,yes,1,yes
25280365,yes,maybe,0,yes
20813740,yes,yes,1,yes
20401819,yes,maybe,0,maybe
7860319,yes,yes,1,yes
25255719,yes,maybe,0,yes
24352924,yes,yes,1,yes
24973051,no,yes,0,yes
20497146,yes,yes,1,yes
19401574,yes,yes,1,yes
23571528,no,yes,0,yes
25228241,yes,yes,1,yes
22348433,yes,yes,1,yes
20538207,no,yes,0,yes
10927144,no,yes,0,no
20197761,maybe,no,0,no
21394762,yes,yes,1,yes
12442934,yes,no,0,no
9347843,no,yes,0,yes
23072266,yes,yes,1,yes
12607666,yes,yes,1,yes
24074624,no,yes,0,yes
17224424,yes,yes,1,yes
16097998,yes,yes,1,yes
25487603,yes,maybe,0,maybe
20594006,no,yes,0,yes
26363639,yes,yes,1,yes
27405146,yes,yes,1,yes
