text,gold,pred_raw,pred_label,correct
,neutral,"utral
Reasoning skill",neutral,1
,neutral,he sentiment is neutral/in,neutral,1
,negative,"egative
Reasoning Skill",neutral,0
,positive,The sentiment is positive.,positive,1
,positive,e sentiment is positive.,neutral,0
,positive,"The sentiment is positive,",positive,1
,positive,"itive
Explanation: The",neutral,0
,positive,e sentiment is positive.,positive,1
,positive,The sentiment is positive.,positive,1
,positive,"sitive
Reasoning skill",neutral,0
,positive,he sentiment is neutral/in,neutral,0
,positive,sentiment is neutral/in,neutral,0
,positive,e sentiment is neutral.,neutral,0
,positive,"sitive
Reasoning skill",neutral,0
,positive,"sitive
Reasoning Skill",neutral,0
,positive,"sentiment is positive,",negative,0
,positive,he sentiment is positive.,positive,1
,positive,entiment is positive.,neutral,0
,positive,e sentiment is positive as,positive,1
,positive,"itive
Reasoning Skill",neutral,0
,positive,he sentiment is positive.,positive,1
,positive,"utral
Explanation: The",neutral,0
,positive,sentiment is neutral/in,neutral,0
,positive,"ositive
Reasoning skill",neutral,0
,positive,"itive
Reasoning Skill",neutral,0
,positive,"tive
Reasoning Skill",neutral,0
,positive,"ositive
Reasoning skill",neutral,0
,positive,sentiment is neutral.,neutral,0
,positive,"sentiment is positive,",positive,1
,positive,sentiment is neutral.,neutral,0
,positive,"ral
Reasoning skill",neutral,0
,positive,sentiment is neutral/in,neutral,0
,positive,sentiment is neutral.,neutral,0
,positive,"e sentiment is neutral,",neutral,0
,positive,"The sentiment is positive,",positive,1
,positive,e sentiment is neutral/in,neutral,0
,positive,"itive
Reasoning Skill",neutral,0
,positive,entiment is neutral/in,neutral,0
,positive,"ositive
Reasoning Skill",neutral,0
,positive,entiment is neutral.,neutral,0
,positive,"itive
Reasoning skill",neutral,0
,positive,"he sentiment is positive,",positive,1
,positive,he sentiment is neutral.,neutral,0
,positive,he sentiment is neutral.,neutral,0
,positive,"positive
Explanation: The",positive,1
,positive,"Positive
Explanation: The",positive,1
,positive,The sentiment is positive.,positive,1
,positive,sentiment is neutral.,neutral,0
,positive,The sentiment is neutral.,neutral,0
,positive,sentiment is positive.,positive,1
,positive,"sitive
Reasoning Skill",neutral,0
,positive,"e
Reasoning Skill",neutral,0
,positive,sentiment is neutral/in,neutral,0
,positive,ntiment is neutral.,neutral,0
,positive,he sentiment is positive.,positive,1
,positive,The sentiment is positive.,positive,1
,positive,"ive
Reasoning skill",neutral,0
,positive,The sentiment is neutral.,neutral,0
,neutral,sentiment is neutral.,neutral,1
,neutral,he sentiment is neutral.,neutral,1
,neutral,The sentiment is neutral.,positive,0
,neutral,"ositive
Reasoning Skill",neutral,1
,neutral,sentiment is neutral.,neutral,1
,positive,he sentiment is neutral/in,neutral,0
,neutral,e sentiment is neutral/in,neutral,1
,positive,he sentiment is neutral/in,neutral,0
,positive,The sentiment is neutral/in,neutral,0
,neutral,The sentiment is neutral/in,neutral,1
,positive,he sentiment is neutral/in,neutral,0
,neutral,The sentiment is neutral/in,neutral,1
,positive,"Bullish
Explanation:",neutral,0
,neutral,"ositive
Explanation: The",neutral,1
,neutral,The sentiment is neutral.,neutral,1
,neutral,e sentiment is neutral/in,neutral,1
,neutral,he sentiment is neutral.,neutral,1
,neutral,e sentiment is neutral.,neutral,1
,neutral,he sentiment is neutral/in,neutral,1
,positive,sentiment is positive.,positive,1
,neutral,"The sentiment is neutral,",neutral,1
,positive,"The sentiment is neutral,",neutral,0
,neutral,sentiment is neutral/in,neutral,1
,neutral,e sentiment is positive.,positive,0
,neutral,The sentiment is neutral.,neutral,1
,positive,The sentiment is neutral/in,neutral,0
,positive,he sentiment is positive.,positive,1
,neutral,The sentiment is positive.,positive,0
,positive,he sentiment is neutral.,neutral,0
,positive,he sentiment is neutral/in,neutral,0
,positive,"sentiment is neutral,",neutral,0
,positive,e sentiment is neutral.,neutral,0
,positive,"sitive
Explanation: The",neutral,0
,positive,"sitive
Reasoning Skill",neutral,0
,positive,"sitive
Reasoning Skill",neutral,0
,positive,"ositive
Reasoning skill",neutral,0
,positive,he sentiment is positive.,positive,1
,positive,"he sentiment is positive,",positive,1
,positive,he sentiment is neutral.,neutral,0
,positive,he sentiment is positive as,positive,1
,positive,The sentiment is positive.,positive,1
,positive,The sentiment is positive.,positive,1
