question_id,gt_answer,pred_answer
0,C,C
1,E,B
2,C,C
3,D,B
4,B,B
5,E,C
6,D,B
7,C,C
8,C,C
9,A,A
10,E,B
11,D,D
12,B,B
13,E,E
14,D,E
15,B,B
16,E,D
17,E,C
18,B,A
19,E,C
20,C,E
21,A,A
22,D,D
23,E,B
24,A,A
25,E,E
26,E,E
27,A,A
28,D,D
29,D,D
30,E,E
31,C,C
32,E,C
33,B,E
34,B,A
35,A,A
36,E,D
37,A,A
38,E,E
39,A,A
40,D,B
41,C,C
42,A,C
43,C,B
44,B,D
45,E,A
46,C,B
47,A,E
48,B,B
49,D,E
50,E,E
51,A,E
52,D,D
53,D,C
54,B,C
55,B,B
56,C,C
57,B,B
58,C,C
59,A,C
60,D,D
61,A,A
62,D,D
63,A,A
64,A,A
65,C,C
66,D,D
67,C,E
68,D,C
69,A,A
70,A,B
71,A,A
72,C,C
73,B,C
74,C,A
75,A,C
76,B,B
77,B,A
78,D,D
79,C,C
80,B,B
81,B,E
82,C,C
83,B,B
84,D,D
85,C,C
86,C,C
87,D,D
88,C,C
89,C,C
90,E,E
91,B,B
92,D,D
93,E,C
94,C,C
95,D,D
96,A,A
97,B,B
98,C,C
99,C,C
100,E,C
101,A,A
102,A,E
103,A,A
104,C,B
105,B,B
106,C,A
107,A,A
108,E,E
109,C,E
110,D,B
111,C,E
112,B,E
113,D,D
114,D,C
115,E,A
116,D,A
117,D,A
118,E,E
119,C,C
120,D,A
121,B,C
122,E,B
123,A,A
124,B,B
125,A,B
126,A,A
127,D,D
128,A,E
129,A,A
130,B,D
131,B,B
132,A,A
133,B,A
134,A,A
135,C,C
136,D,D
137,E,D
138,C,C
139,D,B
140,D,B
141,A,C
142,A,D
143,B,E
144,D,D
145,D,E
146,D,E
147,D,D
148,B,B
149,E,A
150,A,B
151,E,B
152,A,A
153,A,A
154,D,D
155,E,B
156,B,A
157,A,D
158,D,C
159,C,A
160,D,E
161,B,D
162,D,D
163,A,C
164,A,A
