news,label_key,gold,pred_binary,correct
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Direction Up,0,0,1
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Direction Constant,0,0,1
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Direction Down,0,0,1
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Asset Comparision,1,1,1
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Past Information,1,1,1
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Future Information,0,1,0
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Sentiment_positive,0,1,0
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Sentiment_negative,0,1,0
Gold / Silver / Copper futures - weekly outlook: February 27 - March 3,Price Sentiment_none,1,0,0
gold to be a safe-haven again; sell crude on rally: barratt,Price Direction Up,0,0,1
gold to be a safe-haven again; sell crude on rally: barratt,Price Direction Constant,0,0,1
gold to be a safe-haven again; sell crude on rally: barratt,Price Direction Down,0,0,1
gold to be a safe-haven again; sell crude on rally: barratt,Asset Comparision,1,1,1
gold to be a safe-haven again; sell crude on rally: barratt,Past Information,0,0,1
gold to be a safe-haven again; sell crude on rally: barratt,Future Information,1,0,0
gold to be a safe-haven again; sell crude on rally: barratt,Price Sentiment_positive,0,1,0
gold to be a safe-haven again; sell crude on rally: barratt,Price Sentiment_negative,0,1,0
gold to be a safe-haven again; sell crude on rally: barratt,Price Sentiment_none,1,0,0
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Direction Up,0,0,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Direction Constant,0,0,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Direction Down,1,1,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Asset Comparision,0,0,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Past Information,1,1,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Future Information,0,0,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Sentiment_positive,0,0,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Sentiment_negative,1,1,1
"feb. gold settles at $1,097,90/oz on comex, down 0.9% for the session",Price Sentiment_none,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Direction Up,1,1,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Direction Constant,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Direction Down,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Asset Comparision,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Past Information,1,1,1
dec gold rises 30c to $443.40/oz in morning ny trade,Future Information,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Sentiment_positive,1,1,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Sentiment_negative,0,0,1
dec gold rises 30c to $443.40/oz in morning ny trade,Price Sentiment_none,0,0,1
Gold holds modest losses after Chicago PMI miss,Price Direction Up,0,0,1
Gold holds modest losses after Chicago PMI miss,Price Direction Constant,0,0,1
Gold holds modest losses after Chicago PMI miss,Price Direction Down,1,0,0
Gold holds modest losses after Chicago PMI miss,Asset Comparision,0,1,0
Gold holds modest losses after Chicago PMI miss,Past Information,1,1,1
Gold holds modest losses after Chicago PMI miss,Future Information,0,0,1
Gold holds modest losses after Chicago PMI miss,Price Sentiment_positive,0,0,1
Gold holds modest losses after Chicago PMI miss,Price Sentiment_negative,1,1,1
Gold holds modest losses after Chicago PMI miss,Price Sentiment_none,0,0,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Direction Up,0,0,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Direction Constant,0,0,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Price Direction Down,1,1,1
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Asset Comparision,0,1,0
"December gold $4.90, or 0.4%, lower at $1,313.20/oz.",Past Information,1,1,1
