question_id,gt_answer,pred_answer,correct
0,C,C,1
1,E,B,0
2,C,C,1
3,D,B,0
4,B,B,1
5,E,C,0
6,D,B,0
7,C,C,1
8,C,C,1
9,A,A,1
10,E,E,1
11,D,D,1
12,B,B,1
13,E,E,1
14,D,E,0
15,B,B,1
16,E,D,0
17,E,C,0
18,B,A,0
19,E,C,0
20,C,E,0
21,A,A,1
22,D,D,1
23,E,B,0
24,A,A,1
25,E,E,1
26,E,E,1
27,A,A,1
28,D,D,1
29,D,D,1
30,E,E,1
31,C,C,1
32,E,C,0
33,B,E,0
34,B,A,0
35,A,A,1
36,E,D,0
37,A,A,1
38,E,E,1
39,A,A,1
40,D,D,1
41,C,C,1
42,A,A,1
43,C,B,0
44,B,D,0
45,E,A,0
46,C,B,0
47,A,E,0
48,B,B,1
49,D,E,0
50,E,E,1
51,A,A,1
52,D,D,1
53,D,C,0
54,B,B,1
55,B,B,1
56,C,C,1
57,B,B,1
58,C,C,1
59,A,C,0
60,D,D,1
61,A,A,1
62,D,D,1
63,A,A,1
64,A,A,1
65,C,C,1
66,D,D,1
67,C,C,1
68,D,C,0
69,A,A,1
70,A,A,1
71,A,A,1
72,C,C,1
73,B,C,0
74,C,A,0
75,A,C,0
76,B,B,1
77,B,A,0
78,D,D,1
79,C,C,1
80,B,B,1
81,B,E,0
82,C,C,1
83,B,B,1
84,D,D,1
85,C,C,1
86,C,C,1
87,D,D,1
88,C,C,1
89,C,C,1
90,E,E,1
91,B,B,1
92,D,D,1
93,E,C,0
94,C,C,1
95,D,D,1
96,A,A,1
97,B,B,1
98,C,C,1
99,C,C,1
100,E,C,0
101,A,A,1
102,A,A,1
103,A,A,1
104,C,C,1
105,B,B,1
106,C,A,0
107,A,A,1
108,E,E,1
109,C,E,0
110,D,B,0
111,C,C,1
112,B,E,0
113,D,D,1
114,D,C,0
115,E,A,0
116,D,A,0
117,D,A,0
118,E,E,1
119,C,C,1
120,D,A,0
121,B,B,1
122,E,E,1
123,A,A,1
124,B,B,1
125,A,B,0
126,A,A,1
127,D,D,1
128,A,E,0
129,A,A,1
130,B,D,0
131,B,B,1
132,A,A,1
133,B,B,1
134,A,A,1
135,C,C,1
136,D,D,1
137,E,D,0
138,C,C,1
139,D,B,0
140,D,B,0
141,A,C,0
142,A,A,1
143,B,B,1
144,D,D,1
145,D,E,0
146,D,E,0
147,D,D,1
148,B,B,1
149,E,A,0
150,A,A,1
151,E,B,0
152,A,A,1
153,A,A,1
154,D,D,1
155,E,B,0
156,B,B,1
157,A,A,1
158,D,C,0
159,C,A,0
160,D,E,0
161,B,D,0
162,D,D,1
163,A,C,0
164,A,A,1
165,B,C,0
166,B,C,0
167,D,D,1
168,B,B,1
169,D,D,1
170,C,C,1
171,D,D,1
172,C,B,0
173,A,C,0
174,E,E,1
175,D,D,1
176,E,B,0
177,D,D,1
178,D,A,0
179,D,D,1
180,B,D,0
181,E,A,0
182,B,B,1
183,E,C,0
184,B,A,0
185,D,D,1
186,C,C,1
187,B,B,1
188,E,E,1
189,C,D,0
190,A,D,0
191,D,E,0
192,E,E,1
193,C,C,1
194,C,C,1
195,C,C,1
196,A,C,0
197,C,C,1
198,E,C,0
199,D,A,0
200,B,B,1
201,B,B,1
202,D,C,0
203,A,C,0
204,C,B,0
205,B,B,1
206,D,D,1
207,A,A,1
208,B,D,0
209,A,A,1
210,C,A,0
211,B,E,0
212,E,C,0
213,A,A,1
214,B,B,1
215,D,A,0
216,E,E,1
217,D,D,1
218,E,E,1
219,A,C,0
220,D,B,0
221,A,A,1
222,D,A,0
223,A,A,1
224,C,D,0
225,C,C,1
